Designator,Footprint,Quantity,Value,LCSC Part #
CONN1,conn_molex_pico_ezmate_1x02,1,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D4, D5, D6, D7, D8, D9",ComboDiode,38,,
"H1, H2, H3, H4, H5, H6",mounting_hole,6,,
MCU1,ProMicro,1,,
PAD1,pads,1,,
"ROT1, ROT2",PEC12R-4xxxF-Sxxxx,2,,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S4, S5, S6, S7, S8, S9",MX,36,,
SW1,power_switch,1,,
SW2,sw_reset_side,1,reset_button,
